,Participant,Group,window,report,MW,MSD
501,29635,B,15,probe,u,0.015519116493340828
502,29635,B,20,probe,f,0.021918893279021103
503,29635,B,20,probe,u,0.021554145964363985
504,29635,B,20,probe,u,0.0200294393722703
505,29635,B,20,probe,a,0.01940632126722571
506,29635,B,20,probe,f,0.01919698629435437
507,29635,B,20,probe,u,0.0144555785119472
508,29635,B,25,probe,f,0.02315763330171981
509,29635,B,25,probe,u,0.021320604422493457
510,29635,B,25,probe,u,0.0215272298973902
511,29635,B,25,probe,a,0.01814487402166852
512,29635,B,25,probe,f,0.02079728607022942
513,29635,B,25,probe,u,0.014761902451617893
514,29635,B,30,probe,f,0.02371057415796615
515,29635,B,30,probe,u,0.021413205091796155
516,29635,B,30,probe,u,0.02165488821842418
517,29635,B,30,probe,a,0.01780920471080342
518,29635,B,30,probe,f,0.02419018484537997
519,29635,B,30,probe,u,0.014313471375452465
520,29899,A,5,probe,a,0.011724279094093544
521,29899,A,5,probe,f,0.04759006140053879
522,29899,A,5,probe,f,0.017389273876018393
523,29899,A,5,probe,u,0.021023358794001527
524,29899,A,5,probe,a,0.13574119090378314
525,29899,A,5,probe,f,0.026296145341315844
526,29899,A,10,probe,a,0.010908497748510763
527,29899,A,10,probe,f,0.03831998081849097
528,29899,A,10,probe,f,0.0342398051587887
529,29899,A,10,probe,u,0.03498094979771602
530,29899,A,10,probe,a,0.08663423476241318
531,29899,A,10,probe,f,0.0270009455980134
532,29899,A,15,probe,a,0.010132628158665686
533,29899,A,15,probe,f,0.04488098185384873
534,29899,A,15,probe,f,0.04517237664290061
535,29899,A,15,probe,u,0.04049225742175946
536,29899,A,15,probe,a,0.07719583531318176
537,29899,A,15,probe,f,0.039472635160818115
538,29899,A,20,probe,a,0.01040488697074665
539,29899,A,20,probe,f,0.04000497405406651
540,29899,A,20,probe,f,0.042906101238720094
541,29899,A,20,probe,u,0.044455789165234606
542,29899,A,20,probe,a,0.06492608295156145
543,29899,A,20,probe,f,0.03925247699995415
544,29899,A,25,probe,a,0.010213362549673413
545,29899,A,25,probe,f,0.034273784329391835
546,29899,A,25,probe,f,0.04198131144527932
547,29899,A,25,probe,u,0.042119729036744095
548,29899,A,25,probe,a,0.05874685941748571
549,29899,A,25,probe,f,0.04085125016756205
550,29899,A,30,probe,a,0.00988552070611976
551,29899,A,30,probe,f,0.03075262684747557
552,29899,A,30,probe,f,0.04017468489651531
553,29899,A,30,probe,u,0.038090785654282776
554,29899,A,30,probe,a,0.05785253685673288
555,29899,A,30,probe,f,0.03856536060506501
556,33611,B,5,probe,a,0.062361361492159345
557,33611,B,5,probe,u,0.06549249638323562
558,33611,B,5,probe,u,0.07793097163463684
559,33611,B,5,probe,u,0.02087012479863418
560,33611,B,5,probe,a,0.012409354331857518
561,33611,B,5,probe,u,0.016837735317075386
562,33611,B,10,probe,a,0.06133593540573431
563,33611,B,10,probe,u,0.05153190784076616
564,33611,B,10,probe,u,0.05540175290402869
565,33611,B,10,probe,u,0.03667303814728789
566,33611,B,10,probe,a,0.01876778910017079
567,33611,B,10,probe,u,0.015555033461835267
568,33611,B,15,probe,a,0.06488087755446327
569,33611,B,15,probe,u,0.041510311509370915
570,33611,B,15,probe,u,0.04776512788840331
571,33611,B,15,probe,u,0.03863733173354149
572,33611,B,15,probe,a,0.01784181611782419
573,33611,B,15,probe,u,0.014686373944359607
574,33611,B,20,probe,a,0.05414030173432487
575,33611,B,20,probe,u,0.03678198972573825
576,33611,B,20,probe,u,0.0415535804170779
577,33611,B,20,probe,u,0.03921695924289907
578,33611,B,20,probe,a,0.0175360921597346
579,33611,B,20,probe,u,0.012906850468532191
580,33611,B,25,probe,a,0.047598320074741796
581,33611,B,25,probe,u,0.03502855834331265
582,33611,B,25,probe,u,0.035317241770018805
583,33611,B,25,probe,u,0.03606578520888457
584,33611,B,25,probe,a,0.016607079682927784
585,33611,B,25,probe,u,0.012883376144005795
586,33611,B,30,probe,a,0.042218092561069724
587,33611,B,30,probe,u,0.03563700385638749
588,33611,B,30,probe,u,0.03166604189098967
589,33611,B,30,probe,u,0.033838860971717365
590,33611,B,30,probe,a,0.015587113346386879
591,33611,B,30,probe,u,0.012052659107947873
592,36745,B,5,probe,a,0.011321754457152965
593,36745,B,5,probe,u,0.025432471567856704
594,36745,B,5,probe,f,0.07654385069518264
595,36745,B,5,probe,u,0.011903412062811015
596,36745,B,5,probe,f,0.04428063784147443
597,36745,B,10,probe,a,0.012850740542217427
598,36745,B,10,probe,u,0.03737870605204107
599,36745,B,10,probe,f,0.07445734986527387
600,36745,B,10,probe,u,0.01844026620253458
601,36745,B,10,probe,f,0.07038654260996982
602,36745,B,15,probe,a,0.0133941340451355
603,36745,B,15,probe,u,0.03800728197430078
604,36745,B,15,probe,f,0.057685456199767185
